symbol,company,market_cap,industry,lodged,title,date_effective,tiers,window_model,ad_hoc_blackout_authority,dealing_covers_derivatives,dealing_covers_agreements_to_deal,dealing_covers_encumbrance,dealing_covers_stock_lending,dealing_covers_change_of_beneficial_ownership,securities_include_otc_derivatives,substance_over_form,secured_financing_scope,forced_sale_in_closed_period,unvested_as_collateral,financing_disclosure,minimum_shareholding_requirement,exemption_authority,external_documents,jurisdiction_overlays,funded_collar,summary
GNP,GENUSPLUS GROUP LTD,1701768412,Capital Goods,2020-12-11,Securities Trading Policy,14 October 2020,"GPG Person | Chair of the Board | Other directors, Company Secretary and Key Management Personnel | Any other GPG Person | Controlled Entities | Associates (clause 3 only)",closed,"GPG, in its sole and absolute discretion and without notice, may impose additional restrictions on trading by any or all GPG Persons or other staff, even outside a Blackout Period; such a restriction must be kept strictly confidential. The Board may also specify further mandated Blackout Periods.",yes,not_addressed,not_addressed,not_addressed,yes,yes,not_addressed,any_financing_in_respect_of_securities,excluded_dealing,prohibited,"GPG Person — trigger: beginning or ceasing to have a substantial holding in GPG, or a movement of at least 1% while holding a substantial holding — to: Authorising Officer — deadline: not specified (clause 3.3(a)(iv)).",,"The Authorising Officer (Chair of ARC/an Independent Director for the Chair of the Board; the Chair of the Board/Chair of ARC for other directors, Company Secretary and KMP; the Company Secretary/Managing Director for any other GPG Person) may, in absolute discretion and without giving reasons, approve dealing during a Blackout Period or otherwise-prohibited dealing in 'exceptional circumstances' (severe financial hardship or a court order/enforceable undertaking). The decision is final and binding, can be withdrawn if new information emerges, and must be kept strictly confidential.",,,blocked,"A funded collar over vested, unrestricted GenusPlus shares is achievable but only once the shares are both vested and free of any holding lock, and only with prior consent under clause 3.3: the put and call together are a 'protection arrangement' under clause 4.2, and the loan secured on those shares is a 'grant of security'/margin lending arrangement under clause 4.3, each independently banned outright while the shares remain unvested or holding-locked, with no exemption authority for that state. Once vested and unlocked, both legs require consent from the Authorising Officer (varying by seniority: Chair of ARC/Independent Director, the Chair of the Board, or the Company Secretary/Managing Director), execution must avoid the three annual Blackout Periods and any confidential ad hoc restriction, and any clearance lapses if inside information later arises. Usefully, a secured lender's enforcement sale on default is expressly carved out as a permitted dealing 'at any time', so the bank's ability to liquidate collateral is not blocked by a subsequent closed period. Natural-person associates (as opposed to controlled companies or trusts) are, on the policy's literal wording, only caught by the Blackout Period/notification regime and not by clause 4's substantive bans, which may be relevant to structuring but should not be relied on without further analysis. There is no minimum shareholding requirement and no fixed short-term holding period beyond a general speculative-trading ban."
MLX,METALS X LIMITED,1675280007,Materials,2023-01-31,Securities Trading Policy,,Staff | Senior Management | Directors | Family member,closed,"The Company may notify Staff of any other prohibited period when it is considering matters subject to ASX Listing Rule 3.1A; no confidentiality provision is stated. Trading is also barred, independent of any window, at any time Metals X is in possession of unpublished price sensitive information.",yes,yes,not_addressed,not_addressed,yes,yes,not_addressed,any_secured_financing,not_addressed,not_addressed,,,"The Board may, in its discretion, give prior written clearance to Staff who are not in possession of price sensitive information to sell or dispose of securities during a prohibited period in cases of severe financial difficulties or other exceptional circumstances (court order, bona fide family settlement, or other overriding legal/regulatory requirement). Senior Management may also, under section 7, cancel a non-discretionary trading plan during a prohibited period only in exceptional circumstances with prior written approval.",,,workable,"A funded collar over vested Metals X shares held by Senior Management (the Board, CEO/senior executives and the Company Secretary) is achievable, but sections 3.3/10.1 require prior written approval from the Chairman (or two directors in his absence) before any trade at any time, and both the hedging clause (section 5) and the margin loan/secured lending clause (section 6) separately require that same approval for the put/call legs and for the loan secured on the shares. Hedging of unvested entitlements under an equity incentive scheme is banned outright for Senior Management with no clearance route, so the collar and loan can only be written over vested holdings. Ordinary Staff face no comparable clearance requirement for either the derivatives or the financing leg, only the prohibited-period and inside-information restrictions, and family-member trading during a prohibited period is merely 'discouraged' rather than banned. Execution must avoid the annual, half-year and quarterly closed periods and any inside information, directors must report resulting holding changes to the Company Secretary within 2 days, and any plan-style unwind mechanism needs its own separate approval."
DRO,DRONESHIELD LIMITED,1633012813,Capital Goods,2026-02-24,Trading Policy,25 February 2026,Employees | Restricted Persons | CEO or Chairman of the Board | Other Directors | Sales Team | Chief Commercial Officer | Other Restricted Persons | Connected Persons,closed,"The Board may specify any other blackout period from time to time (5.1). No confidentiality requirement is stated for a Board-imposed additional blackout period itself, but if a dealing request is refused or an approval revoked, that fact must be kept confidential (5.4(c)).",yes,yes,not_addressed,not_addressed,yes,yes,yes,margin_loan_only,excluded_dealing,prohibited,,,"The relevant approver under section 5.4's routing table may grant approval to deal during a blackout period in exceptional circumstances (severe financial hardship or compulsion by court order) provided the Restricted Person is not in possession of inside information and provides sufficient evidence the dealing is the most reasonable course available. Approval is not guaranteed to be given, is not obliged to include reasons, can be revoked at any time, and refusal or revocation must be kept confidential.",,,workable,"A funded collar over vested, unlocked DroneShield shares held by a Restricted Person is achievable for the derivative legs: hedging that limits economic risk is banned only prior to vesting or while subject to a holding lock (clause 4.3), and once vested and unlocked the put/call dealing needs prior written approval outside a blackout period (or narrow exceptional-circumstances approval within one) and must pass the Front Page Test. The loan secured on the collared shares is a much harder problem: clause 4.5 imposes an absolute, unqualified ban on all Employees entering a margin lending arrangement or transferring shares into an existing margin loan, with no vesting carve-out and no consent route at all, and the Policy's stated 'substance over form' approach means a bespoke bank loan achieving the same economic effect is likely to be treated the same way even if not styled as a margin loan. If a secured facility nonetheless exists, a lender's enforcement sale is expressly excluded from the blackout, approval and short-term dealing rules, so the bank could still liquidate collateral without needing separate clearance. Directors face an added Board-approval layer for any sale exceeding 10% of their own holding or 10% of 20-day average volume, and must confirm every trade to the Joint Company Secretaries by close of business the same day, while Restricted Persons must also ensure family members and controlled entities deal only on the same terms."
DYL,DEEP YELLOW LIMITED,1592820746,Energy,2010-12-17,Security Trading Policy,17 November 2010,Designated Persons | Directors | Chairman | Employees | Restricted Employees | Associated parties,closed,Closed Periods may be varied by the Board from time to time (in accordance with the Listing Rules) and the Board may introduce ad-hoc periods; appropriate notice must be given to all Restricted Employees. No confidentiality requirement is stated.,yes,yes,not_addressed,not_addressed,not_addressed,no,not_addressed,not_addressed,not_addressed,not_addressed,,,"In exceptional circumstances (an example being severe financial hardship, compliance with a court order/undertaking, or other circumstances determined by the Chairman or, in his absence, the Board or Managing Director), clearance may be given to sell (not purchase) Company securities when otherwise prohibited, provided there is no Inside Information. Clearance is obtained via the Annexure A written acknowledgement form, is valid only for the specific transaction, and lasts 48 hours or less if Inside Information arises.",,,workable,"A funded collar's derivative legs over vested Deep Yellow shares are achievable: hedging (expressly including 'put and call options or other derivative instruments') is banned outright only before vesting, and hedging of vested securities is permitted provided it complies with the policy — written acknowledgement from the Chairman (or the Audit Committee Chair if the dealer is the Chairman) for Restricted Employees (Directors, EGMs, GMs and other KMP), or simple prior notification to the Managing Director for ordinary employees. The funded collar's loan leg is a different story: the policy contains no provisions whatsoever on margin lending, security, charges or other secured financing arrangements over Company securities, so that leg is not expressly regulated, permitted, or prohibited by this document. Any clearance obtained is transaction-specific and lapses after 48 hours or sooner if inside information arises, and an exceptional-circumstances clearance (for hardship or court order) is available only for a sale, never a purchase. Closed Periods (quarter-end to the day after the quarterly report) apply only to Restricted Employees and their associated parties, with the Board able to add ad hoc periods on notice. Given the policy's age (adopted 2010) and complete silence on financing, this analysis should be treated as a starting point only, pending confirmation of DYL's current policy."
BCI,BCI MINERALS LIMITED,1586293097,Materials,2025-11-24,Share Trading Policy,24 November 2025,Restricted Persons | Connected Persons | Employees and officers | Directors | Managing Director | Chair | Company Secretary | SLT,closed,The Board may impose additional Blackout Periods by written notice to Restricted Persons without explanation of the reason for imposing the Blackout Period.,yes,yes,yes,not_addressed,yes,yes,not_addressed,any_financing_in_respect_of_securities,excluded_dealing,not_addressed,,,"Inside a Blackout Period, the Chair (or, in his/her absence, the Managing Director and one other non-executive director; at least 2 other directors if the Chair is the one dealing) may grant prior written clearance to deal in exceptional circumstances (severe financial hardship, other circumstances deemed exceptional, or compliance with a court order/enforceable undertaking or other legal/regulatory requirement), provided the person does not possess inside information. Outside a Blackout Period, the relevant Approving Officer may grant or refuse clearance in their discretion without giving reasons, and will not grant it if the Company is likely to shortly release financial results or other market-sensitive information; the decision is final and binding, and may be withdrawn if new information comes to light.",BCI-LEG-POL-007 Disclosure Policy | BCI-LEG-FRM-002 Request to Trade in Company Securities Form,,workable,"A funded collar over vested BCI shares is achievable for Restricted Persons, but each leg independently needs prior written clearance from the applicable Approving Officer (escalating from the Managing Director/Chief Legal or Commercial Officer/Company Secretary for employees and officers up to the Chair or non-executive directors for more senior roles): clause 4.9(a) requires clearance for any arrangement limiting the economic risk of a security holding (the collar itself), and clause 4.9(b) separately requires clearance for any agreement giving a lender rights over the shares, expressly naming 'secured financing arrangements' — directly covering the funded collar's loan. Both legs are banned outright, with no clearance available, while the underlying entitlement remains unvested. Clearance must be sought outside a Blackout Period (half-year, full-year and post-quarter windows, plus any Board-imposed ad hoc period) or, within one, only in narrow exceptional circumstances (hardship or court order); clearance will also be withheld if the Company is about to release financial results or other market-sensitive information, and any grant lasts only 5 business days and can be withdrawn if new information emerges. If the bank later enforces its security, the resulting disposal is expressly excluded from the Blackout, approval and short-term dealing rules, and directors/SLT members must report any resulting trade to the Company Secretary within one business day."
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,1562040104,Equity Real Estate Investment Trusts (REITs),2022-06-27,Securities Trading Policy,22 June 2022,Relevant Persons | Directors | Chairman | Employees | Other Relevant Persons | Key Management Personnel | Associates,closed,The policy permits the 'Company' to notify Relevant Persons that they may not buy and sell securities outside a Closed Period; the deciding officer and confidentiality of such a notification are not specified.,yes,yes,no,no,yes,yes,not_addressed,margin_loan_only,not_addressed,not_addressed,"Key Management Personnel with grandfathered pre-1 March 2016 margin loans: trigger = margin call or similar (reasonably expected), material breach entitling the lender to sell, or reaching 90%+ loan-to-value ratio/asset cover; to the Chairman of the Board, in writing; deadline within five business days of becoming aware.",,"The relevant clearance officer under clause 2)b)ii) (Chairman for directors; Board or senior independent director for the Chairman; Managing Director or Company Secretary for employees; Company Secretary or Managing Director for other Relevant Persons) may grant prior clearance to deal during a Closed Period or on a short-term basis in cases of severe financial hardship or other exceptional circumstances such as a court order, enforceable undertaking or bona fide family settlement; confidentiality of any refusal is not addressed.",,,workable,"A funded collar is workable in part but faces a real gap on the financing leg. The put and call over vested, unrestricted shares would be a Dealing requiring prior clearance (Chairman for directors; Managing Director or Company Secretary for employees; Company Secretary or Managing Director for other Relevant Persons), executed outside the two annual Closed Periods and not while short-term (within 3 months of acquisition) or while holding inside information, with notification to the Company Secretary before or immediately after dealing. Hedging is only expressly banned while the plan securities remain unvested or restriction-locked, so hedging vested unrestricted shares is permitted with clearance. However, for directors, officers and other Key Management Personnel, using their Group securities as collateral for margin lending is expressly prohibited (subject only to a narrow pre-1 March 2016 grandfather), and it is unclear whether a bank collar loan secured on shares with margin-call features would be characterised as 'margin lending' and caught by this ban; for other employees and contractors there is no equivalent express prohibition. Structuring the loan leg to avoid the 'margin lending' label, or restricting the funded collar to non-KMP employees, would materially improve feasibility, but KMP participation carries real prohibition risk absent a policy carve-out."
SNL,SUPPLY NETWORK LIMITED,1558185854,Consumer Discretionary Distribution & Retail,2010-12-23,Share Trading Policy,,"Directors, officers and employees | Restricted persons | Directors | Chairman | Executives",open,,no,not_addressed,not_addressed,not_addressed,not_addressed,no,not_addressed,not_addressed,not_addressed,not_addressed,,,"Chairman, remainder of the Board, or Managing Director (as applicable under 4.2.4) may grant prior written approval to trade during a closed period only in exceptional circumstances/severe financial hardship (4.2.5) where satisfied no price sensitive information exists; no other waiver mechanism is stated.",,,workable,"On this policy's own terms, 'trading in the Company's shares' extends only to shares and options issued by the Company itself, so a bank-written OTC put and call and a loan secured on the collared shares are not squarely covered — the policy is silent on margin lending, secured financing, encumbrance, CFDs and third-party derivatives generally. The one express hedging restriction (clause 5.1.2) bars LTIP participants only from protecting value or locking in a price of options or shares 'before the exercise or award date', so it does not reach already-vested, unrestricted shares. To the extent the collar or its unwind is nonetheless treated as 'trading in the Company's shares', Restricted Persons (directors, direct reports to the Managing Director, and other designated employees) may only deal in defined post-results/AGM window periods after checking with the Chairman or Managing Director, or in a closed period with written Board/Chairman/MD approval limited to severe financial hardship, and never while holding inside information; all directors, officers and employees also face a 12-month same-parcel short-term trading ban, a 4-week blackout before results and the AGM, and must notify the Company Secretary of completed transactions within 2 working days. A funded collar over vested shares is therefore more readily available under this document than under a typical modern policy, provided dealing occurs outside blackout periods and (for Restricted Persons) with the requisite Chairman/MD sign-off, but this favourable reading rests on a narrow, dated (2010) definition that the Company could interpret more broadly if asked directly."
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,1546118070,Media & Entertainment,2015-03-30,Securities Trading Policy,27 March 2015,NEC Person | Directors and Senior Management | Chair of the Board | Other directors and Company Secretary | Any other NEC Person | Associates,closed,"The Board may specify any other period as a Closed Period from time to time (clause 4.1(b)(iv)); the imposition of such a period is not stated to be confidential, though an Authorising Officer's decision to withhold or withdraw consent to deal must be kept confidential (4.2(d)).",yes,not_addressed,yes,not_addressed,yes,yes,yes,any_financing_in_respect_of_securities,excluded_dealing,prohibited,"NEC Person granting security or entering margin lending over vested, unlocked NEC Securities: must obtain Authorising Officer consent under clause 4.2 before dealing; a secured lender's forced sale under clause 6(a)(viii) is exempt and needs no prior clearance, but the NEC Person must advise the Authorising Officer afterward (deadline unspecified).",,"The Company Secretary (or, for directors, the Chair) or their delegate has absolute discretion to approve dealing during a Closed Period, or other otherwise-prohibited dealing, in exceptional circumstances such as severe financial hardship or a court order/enforceable undertaking (4.3); such approvals must be given by email, and any refusal or withdrawal of consent must be kept confidential (4.2(d)).",,,blocked,"A funded collar is expressly contemplated for NEC Securities that have vested and are free of a holding lock: clause 5.3(b) permits granting security over such shares to secure the NEC Person's or a third party's obligation (i.e. the bank loan) and entering into a margin lending arrangement, and clause 5.2(b) permits 'protection arrangements' (including instruments that limit economic risk or profit from a price decrease), in both cases subject only to prior consent from the applicable Authorising Officer under clause 4.2, confirmation of no Inside Information, and a post-trade confirmation. Dealing must fall outside a Closed Period (the half-year/year-end result periods and the four weeks before the AGM, plus any Board-specified addition) unless the Company Secretary or Chair grants an exceptional-circumstances approval for severe hardship or a court order. By contrast, unvested or holding-locked NEC Securities can never be pledged, margin-lent against, or hedged (clauses 5.3(a), 5.2(a)) — the collar can only be written over shares that have already vested and cleared any holding lock. If the bank later enforces its security and sells the shares on default, that disposal is an exempt dealing permitted even during a Closed Period (clause 6(a)(viii)), which materially de-risks the enforcement mechanics compared to policies that treat a lender's forced sale as a breach."
WPR,WAYPOINT REIT,1541253571,Equity Real Estate Investment Trusts (REITs),2024-10-17,Securities Trading Policy,17 October 2024,"Restricted Persons | Relevant Persons | Associates | Chair | Chair and his or her Associates | All Relevant Persons other than the Chair and his or her Associates | Directors | Employees, contractors and Relevant Persons other than directors | All Employees",closed,"The Board may, in its sole discretion, impose one or more further closed periods (blackout periods) by notice at any time, applying to Relevant Persons only or to all employees, subject to conditions and exceptions the Board determines; the imposition of a blackout period is not stated to be confidential, though a refusal of clearance to trade must be kept confidential by the person who sought it.",yes,yes,yes,yes,yes,yes,yes,any_financing_in_respect_of_securities,excluded_dealing,prohibited,"Relevant Person granting security or entering a margin lending arrangement over vested, unlocked securities: requires prior approval of the Authorising Officer under clause 9.4 as part of the general clearance process (section 7); a secured lender's forced sale on a margin call (clause 5.3(e)) is an Excluded Dealing needing no prior clearance provided it does not contravene insider trading law.",,"The Authorising Officer (the Chair, or the chair of the Audit and Risk Management Committee for the Chair's own dealings) may grant prior written clearance to trade in a Closed Period for exceptional circumstances (severe financial hardship or legal duties/court orders), with the exceptional-circumstances determination made by the Managing Director/CEO (for employees, contractors and other Relevant Persons), the Chair (for directors) or an independent non-executive director (for the Chair); refusal is in the Authorising Officer's absolute discretion without reasons, final and binding, and must be kept confidential by the applicant.",Code of Conduct | Disclosure Policy | Communications Policy,,blocked,"A funded collar is expressly contemplated: Waypoint REIT's own definition of 'Derivative' names 'options, forward contracts, swaps, futures, warrants, caps and collars', and clause 7.2 confirms that dealing in derivatives over fully vested securities requires prior written clearance via the Securities Trading Form from the Authorising Officer (the Chair for most Relevant Persons; the chair of the Audit and Risk Management Committee for the Chair and his or her Associates). The put/call protection-arrangement legs and the security granted to secure the bank's loan are both permitted over vested, unlocked securities with that same clearance (clauses 9.2(b), 9.4), but are prohibited outright while the shares remain unvested or subject to a holding lock (clauses 9.2(a), 9.4). Dealing must sit outside the Closed Periods (the day price-sensitive information is released, the pre-results periods, the pre-AGM week, and any Board-imposed blackout period, which can extend to all employees) unless the applicable approver (Chair, Managing Director/CEO, or an independent non-executive director, depending on role) grants an exceptional-circumstances approval for severe hardship or a court order. If the bank later enforces its security on a margin call, that disposal is an Excluded Dealing available even during a Closed Period without fresh clearance, provided the Relevant Person is not then in possession of inside information, which materially reduces enforcement-timing risk relative to peer policies."
SIQ,SMARTGROUP CORPORATION LTD,1534864743,Commercial & Professional Services,2018-06-22,Trading Policy,22 June 2018,"Personnel | Designated Person | Directors, alternate directors, CEO, CFO and Company Secretary | Chairman of the Board | Other Designated Persons | Associates",open,,yes,yes,no,not_addressed,yes,yes,yes,margin_loan_only,excluded_dealing,not_addressed,No standalone financing-specific disclosure trigger is stated; only the general post-dealing confirmation to the Company Secretary within three business days (clause 4.2) applies once an actual dealing in the Company's Securities occurs.,,"The Notification Officer (Chairman for directors, alternate directors, CEO, CFO and Company Secretary; the other Directors for the Chairman; the Company Secretary for other Designated Persons and for ordinary Personnel) may give prior confirmation to deal during a Prohibited Period, or to dispose despite Part 7, in exceptional circumstances (severe financial hardship, a court order/enforceable undertaking, or other circumstances as the Chairman, or the CEO if the Chairman is involved, determines); doubtful cases are referred to the Chairman or CEO; confidentiality of a refusal is not addressed.",,,workable,"For a Designated Person, a funded collar is workable if the loan is structured as an 'ordinary lending scenario' rather than a margin loan: clause 7.1 bans only margin lending arrangements and expressly carves out other secured funding using the shares as security, and the lender-disposal exemption in clause 6(g) likewise excludes margin loans but otherwise permits a secured lender's enforcement sale at any time, including during a Prohibited Period. The hedging ban (7.3(a)) only bites while the underlying remuneration securities are unvested or holding-locked; once vested and unlocked, the collar's put/call legs are third-party 'financial products' under clause 7.4 and are permitted only to the extent they fit a dealing type the policy already allows, in practice meaning dealt within an open trading window (post-results, post-AGM, prospectus, or cleansing-notice windows) after prior written notice to the Notification Officer and confirmation of no Inside Information, with post-trade confirmation to the Company Secretary within three business days. Outside a window, an exceptional-circumstances approval for severe hardship or a legal requirement is needed. Personnel who are not Designated Persons face none of the Part 7 restrictions at all and can deal, including in derivatives, within an open window without prior notification. The structure is achievable but turns entirely on characterising the loan as non-margin secured financing, since both the prohibition and its associated forced-sale exemption hinge on that label."
DGT,DIGICO INFRASTRUCTURE REIT,1501869655,Class Pend,2024-12-19,Listed Investment Trusts Trading Policy,28 May 2024,EQT Persons | LIT Partners | LIT Persons | Connected Persons,closed,The Responsible Entity may specify 'any other period' as an additional Black-out Period; the Policy does not state whether such additional periods are announced or kept confidential.,no,not_addressed,no,no,yes,no,not_addressed,any_secured_financing,not_addressed,not_addressed,,,"Responsible Entity's Chair determines exceptional-circumstances relief (or the EQTHL Board Risk Committee Chair where the proposed trading is by the Responsible Entity's Chair), on consultation with the Company Secretary.","The LIT Partner's own trading policy, procedures and/or controls agreed with the Responsible Entity, which governs the clearance mechanics actually applied to LIT Persons and LIT Partners (e.g. DigiCo's manager and its directors).",,workable,"A funded collar is structurally available under this Policy, unlike an outright ban: hedging (s.6.ii) and any arrangement granting security over the Units, including a margin loan (s.6.iii), are both expressly permitted subject to prior written clearance, so both the derivative legs and the bank's security interest are clearable rather than prohibited. The real uncertainty is who grants that clearance for a DigiCo director or executive, since they sit in the 'LIT Persons' tier whose clearance process is meant to run through the manager's own trading policy (not in this document) even though s.6 also cross-refers to the EQT-specific Trading Request Procedure; the manager's own policy should be obtained before proceeding. Any entry, unwind or exercise must fall outside the half-year and full-year NTA/NAV blackout periods, any PDS/general-meeting/buy-back blackout, and while the individual holds no Inside Information. The Policy does not use a vesting concept, sets no minimum shareholding requirement or price-trigger guidance, and is silent on a lender's forced sale during a blackout period, so those risks are unaddressed rather than prohibited. Overall: likely available with prior written clearance (valid 5 business days for EQT Persons; term unspecified for LIT Persons) once the correct approver is confirmed, and best timed for tenor of at least three months to sit outside the short-term trading restriction."
SSM,SERVICE STREAM LIMITED,1496541092,Capital Goods,2018-02-14,Securities Trading Policy,15 February 2018,"Officers | Employees | Designated Person | Chairman | Director, CEO or Company Secretary | Other Designated Person | Associates",closed,"The Board may notify Designated Persons that any additional period is also a Closed Period, for example while relying on a continuous disclosure exception; the Policy does not state whether such additional periods are announced or kept confidential.",no,yes,no,no,not_addressed,not_addressed,not_addressed,margin_loan_only,breach,not_addressed,,,"Chairman (or, if the Chairman is the person concerned, the Chair of the Audit and Risk Committee) grants Closed Period clearance for severe personal hardship or another exceptional circumstance, through the Company Secretary; the Chairman alone may declare a transaction exempt under 4.6.",,,enforcement_restricted,"A funded collar is not available under this Policy for a director, the CEO, or any other Designated Person: section 4.5 imposes an absolute, all-times prohibition on hedging existing holdings or entitlements and expressly extends that prohibition to derivatives, so both the purchased put and written call legs of an OTC collar are banned outright, with no clearance mechanism reaching that substantive ban (the only clearance under 4.7 relieves the Closed Period timing restriction, not the hedging or margin-loan prohibitions). A bank loan secured on the collared shares is separately and permanently banned to the extent it is structured as a margin loan under section 4.4; the Policy is silent on other forms of secured financing. Because every director and company secretary is automatically a Designated Person (as are the CEO, CEO direct reports, and anyone with permanent access to price sensitive information), essentially the entire population a bank would target for a funded collar is caught by these absolute bans. Only Officers or Employees who fall outside the Designated Person definition are free of these restrictions, subject only to the general insider trading prohibition when holding Price Sensitive Information, and no exemption authority exists to waive the hedging, derivatives or margin loan bans for anyone else."
SKG,STORAGE KING GROUP,1491506862,Equity Real Estate Investment Trusts (REITs),2023-09-22,Trading policy,20 September 2023,ASK and Manager Personnel | Restricted Persons | Associates,closed,"ASK may impose a restriction on trading during any period, including one that would otherwise be outside the Blackout Period, and the Board may at any time determine that a Blackout Period is extended for Restricted Persons. The Policy does not state whether such additional restrictions are confidential.",no,yes,no,no,yes,not_addressed,not_addressed,any_secured_financing,breach,not_addressed,,,"Chair (or Chair of the Audit and Risk Committee if the Chair is the applicant) grants Blackout Period trading approval for financial hardship, court order/enforceable undertaking, or other Chair-discretion circumstances, and separately grants prior written approval for margin loans/secured funding arrangements; approval may be given or refused without reasons, is final, and may be withdrawn if new information emerges.",ASK Code of Conduct (contains the prohibition on dealing while in possession of Inside Information) | Continuous Disclosure and Security Holder Communication Policy,,enforcement_restricted,"A funded collar cannot be implemented in full under this Policy: section 5.6 imposes an absolute, unconditional prohibition on hedging transactions over Stapled Securities, expressly covering both vested and unvested holdings, with no Chair-approval or clearance mechanism at all, so neither the purchased put nor the written call can be entered into by any ASK and Manager Personnel or their associates. The loan leg is treated differently: margin loans and 'similar funding arrangements' secured against Stapled Securities are permitted with prior written Chair approval (or Audit and Risk Committee Chair approval if the Chair is the applicant), though the Policy itself warns that a lender's forced sale during a Blackout Period or while the borrower holds inside information may amount to insider trading. Restricted Persons (directors, senior management, KMP, and anyone the Chair designates) face an additional requirement to notify the Company Secretary before any dealing at any time, with the deciding officer able to impose conditions or block the dealing without giving reasons, and any approval can still be refused solely on perception-of-insider-trading grounds. Because the hedging ban is absolute and carries no exception or clearance route, the funded collar structure as a whole is not achievable under this Policy even though the secured loan component alone could, in principle, be cleared."
BKI,BKI INVESTMENT COMPANY LIMITED,1489162653,Not Applic,2021-07-21,Share Trading Policy,July 2021,Restricted Persons,closed,"The Board of BKI has the discretion to impose Blackout Periods at any point in time for any reason, established by a resolution of the Board. The Policy does not state whether Blackout Periods, once imposed, are announced or kept confidential.",no,no,no,no,not_addressed,no,not_addressed,not_addressed,not_addressed,not_addressed,,,"Chair of the BKI Board grants Exceptional Circumstances approval to deal during a Prohibited Period (severe financial hardship, Court Order compulsion, or other Chair-determined exceptional circumstance); the Chair of the BKI Audit and Risk Committee approves instead if the Chair is the applicant. The Board separately has unfettered discretion by resolution to impose Blackout Periods at any time for any reason.",,,workable,"This Policy is narrowly drafted: 'BKI securities' means shares, options and other securities issued by BKI, and 'dealing' means directly buying, selling or otherwise trading in BKI securities; hedging, derivatives, margin lending, security/encumbrance, short selling, stock lending and CFDs are not mentioned anywhere. On the Policy's own wording, an OTC put and call written by a bank (not issued by BKI) and a loan secured by a pledge of the shares fall outside the defined restrictions altogether, leaving only the general Corporations Act insider trading prohibition as an independent constraint. If the arrangement is nonetheless treated as a dealing out of caution, the gate outside Closed/Blackout Periods is light: simple prior notice to the Company Secretary or Chairman and notice of completion, with no approval step; dealing timed within a Closed or Blackout Period instead needs the Chair's (or Audit & Risk Committee Chair's) written approval under the narrow Exceptional Circumstances process. The one hard stop that would apply regardless of how the structure is characterised is the absolute, undefined-length ban on short-term dealing in BKI securities, which has no listed exception, so tenor and unwind timing need care. Overall verdict: likely available given the Policy's silence on hedging and secured financing, subject only to notification (or Chair approval if timed inside a Prohibited Period) and avoiding any short-term dealing characterisation."
NGI,NAVIGATOR GLOBAL INVESTMENTS LIMITED,1476679659,Financial Services,2025-10-15,Trading Policy,15 October 2025,Directors | Chair | Other KMP | Employees | Lighthouse employees | Associates,open,"The Board may, at its discretion, open additional Trading Windows, close a Trading Window early, extend a Trading Window, or impose additional trading restrictions during any period (including within a permitted Trading Window), for example when the Company is considering matters subject to ASX Listing Rule 3.1A, and may apply this to specific directors, other KMP and employees, or generally. Affected individuals are notified by email from the Company Secretary and/or the Lighthouse Chief Compliance Officer; the Policy does not say these restrictions are otherwise kept confidential.",yes,yes,yes,no,yes,yes,not_addressed,margin_loan_only,breach,not_addressed,,,"Chair grants Pre-trade Clearance for Directors, Company Secretary and other KMP to trade outside a Trading Window in exceptional circumstances such as financial hardship; the Chair of the Audit and Risk Committee approves for the Chair; the Company Secretary approves for Employees (Lighthouse Chief Compliance Officer also involved for Lighthouse employees). Approval may be given or refused, without reason, in Navigator's discretion, and may be withdrawn at any time if new information emerges.",Group's Director and Employee Codes of Conduct (this Policy is to be read together with them) | Pre-trade Clearance Form,Part 2D.7 of the Corporations Act (KMP hedging prohibition) | Separate policies govern relevant Group employees for United States Securities and Exchange Commission and other applicable regulatory requirements in their jurisdiction of residence/employment,enforcement_restricted,"A funded collar is workable over vested, unrestricted Navigator shares but not over unvested or holding-locked remuneration: section 5.7.2 imposes an absolute, clearance-free ban on any transaction or financial product limiting the economic risk of unvested or locked holdings, while a collar over vested, unrestricted shares is instead ordinary Trading (the Securities and Trading definitions expressly capture third-party-created derivatives and economic-risk-limiting products), permitted within a Trading Window subject to notification (Directors, Chair and other KMP a day beforehand; Employees on completion) or, outside a Window, subject to written Pre-trade Clearance from the Chair (Company Secretary for Employees), valid for one week and refusable without reason. The loan leg is harder: margin lending arrangements, including transferring shares into a margin loan account or selling to satisfy a margin call, are banned outright with no exception under section 5.7.4, so a bank facility that is or resembles a margin lending arrangement cannot be cleared at all; a facility not structured as a margin loan is not addressed either way. Tenor should exceed three months, since the Policy names a forward contract as an example of short-term dealing that otherwise needs clearance from the section 5.5 approvers. Overall: the derivative legs are achievable with correct timing and clearance, but the secured loan leg carries a real risk of falling within the unconditional margin-lending ban and needs careful structuring to avoid that characterisation."
